config_name,hidden_layers,activation,optimizer,learning_rate,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std
128 (ReLU + SGD lr=0.0001),[128],ReLU,sgd,0.0001,0.6724794238683127,0.16580277044894876,0.49906065485775625,0.08414548456001229,0.07509531500101195,0.038310543422706414
128 (ReLU + RMSPROP lr=0.1),[128],ReLU,rmsprop,0.1,0.9698559670781893,0.008264781801857522,0.7876543209876543,0.09620897195564888,0.6015385954023647,0.14779400413325253
128 (ReLU + RMSPROP lr=0.01),[128],ReLU,rmsprop,0.01,0.991358024691358,0.0008699349035641704,0.9010198604401503,0.011770603461297791,0.8853864996741916,0.012941499545401294
128 (ReLU + RMSPROP lr=0.001),[128],ReLU,rmsprop,0.001,0.9552983539094649,0.0016136200762714233,0.4984165324745035,0.0008418887354459577,0.0,0.0
128 (ReLU + RMSPROP lr=0.0001),[128],ReLU,rmsprop,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Tanh + ADAM lr=0.1),[128],Tanh,adam,0.1,0.9934670781893005,0.0005296106039602254,0.9375469672571122,0.009557873914686014,0.9178218728224549,0.007467526823827963
128 (Tanh + ADAM lr=0.01),[128],Tanh,adam,0.01,0.9687242798353909,0.009110313216686303,0.6258722490606548,0.1097525536400667,0.35315364273749,0.27620575699559574
128 (Tanh + ADAM lr=0.001),[128],Tanh,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Tanh + ADAM lr=0.0001),[128],Tanh,adam,0.0001,0.8840534979423869,0.07620175982199828,0.6501878690284487,0.07811438201683271,0.21983818582272371,0.04631449399410461
128 (Tanh + SGD lr=0.1),[128],Tanh,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Tanh + SGD lr=0.01),[128],Tanh,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Tanh + SGD lr=0.001),[128],Tanh,sgd,0.001,0.7642489711934155,0.04342569315811706,0.5091519055287171,0.041340369559290664,0.0748449211513561,0.022889020266295225
128 (Tanh + SGD lr=0.0001),[128],Tanh,sgd,0.0001,0.46759259259259256,0.1429453538567542,0.47777777777777775,0.14376470839066913,0.0738069295385801,0.040072126302310634
128 (Tanh + RMSPROP lr=0.1),[128],Tanh,rmsprop,0.1,0.9515432098765432,0.006544455325732477,0.606280193236715,0.06047223587239669,0.26088081355813425,0.12588026100927743
128 (Tanh + RMSPROP lr=0.01),[128],Tanh,rmsprop,0.01,0.9572530864197532,0.0056218420132980625,0.6635802469135802,0.09199578955994128,0.3591365466918343,0.18179341699316054
128 (Tanh + RMSPROP lr=0.001),[128],Tanh,rmsprop,0.001,0.9560185185185185,0.0022481248336844004,0.4987922705314009,0.001172934695835333,0.0,0.0
128 (Tanh + RMSPROP lr=0.0001),[128],Tanh,rmsprop,0.0001,0.9340534979423868,0.021759684884298084,0.6201825013419217,0.07918991430028635,0.23353592350891517,0.0730117071586154
128 (LeakyReLU + ADAM lr=0.1),[128],LeakyReLU,adam,0.1,0.9930555555555556,0.0011386802274268673,0.9444176060118089,0.010437148650817902,0.9145256703625814,0.013662610976966279
128 (LeakyReLU + ADAM lr=0.01),[128],LeakyReLU,adam,0.01,0.9774691358024692,0.007226588201167061,0.7361245303274287,0.08310946979672386,0.6201857274825976,0.15141834712625413
128 (LeakyReLU + ADAM lr=0.001),[128],LeakyReLU,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (LeakyReLU + ADAM lr=0.0001),[128],LeakyReLU,adam,0.0001,0.9418724279835391,0.03292181069958851,0.5333333333333333,0.06666666666666667,0.04551282051282051,0.09102564102564102
128 (LeakyReLU + SGD lr=0.1),[128],LeakyReLU,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (LeakyReLU + SGD lr=0.01),[128],LeakyReLU,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (LeakyReLU + SGD lr=0.001),[128],LeakyReLU,sgd,0.001,0.9516975308641975,0.008155198658075095,0.5107085346215781,0.024416985929354245,0.03254237288135593,0.06508474576271187
128 (LeakyReLU + SGD lr=0.0001),[128],LeakyReLU,sgd,0.0001,0.6558127572016461,0.23959530402447238,0.4809178743961352,0.034631084673505064,0.061206851645491465,0.026696962317767158
128 (LeakyReLU + RMSPROP lr=0.1),[128],LeakyReLU,rmsprop,0.1,0.9715020576131688,0.008314259530952635,0.7672571121846484,0.09675705736050663,0.5981956622221798,0.15647883391920256
128 (LeakyReLU + RMSPROP lr=0.01),[128],LeakyReLU,rmsprop,0.01,0.9905349794238683,0.001961489296804284,0.8946859903381643,0.021190366025688023,0.8737505964782285,0.02863343924968362
128 (LeakyReLU + RMSPROP lr=0.001),[128],LeakyReLU,rmsprop,0.001,0.9548868312757202,0.0018872362477205956,0.49820182501341925,0.0009846449988107472,0.0,0.0
128 (LeakyReLU + RMSPROP lr=0.0001),[128],LeakyReLU,rmsprop,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Sigmoid + ADAM lr=0.1),[128],Sigmoid,adam,0.1,0.9582818930041153,0.00010288065843622186,0.534219001610306,0.0684380032206119,0.08315412186379928,0.16630824372759856
128 (Sigmoid + ADAM lr=0.01),[128],Sigmoid,adam,0.01,0.9568415637860082,0.0018432585254289338,0.4992216854535695,0.0009617001002237787,0.0,0.0
128 (Sigmoid + ADAM lr=0.001),[128],Sigmoid,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Sigmoid + ADAM lr=0.0001),[128],Sigmoid,adam,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Sigmoid + SGD lr=0.1),[128],Sigmoid,sgd,0.1,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Sigmoid + SGD lr=0.01),[128],Sigmoid,sgd,0.01,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Sigmoid + SGD lr=0.001),[128],Sigmoid,sgd,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Sigmoid + SGD lr=0.0001),[128],Sigmoid,sgd,0.0001,0.7338477366255145,0.3538259917470361,0.506280193236715,0.015902626293175706,0.03463230921704658,0.04261945438521081
128 (Sigmoid + RMSPROP lr=0.1),[128],Sigmoid,rmsprop,0.1,0.9769547325102881,0.010025718844949436,0.7931293612453032,0.07561147190872555,0.6786382188239365,0.13720951231483308
128 (Sigmoid + RMSPROP lr=0.01),[128],Sigmoid,rmsprop,0.01,0.9582818930041151,0.00010288065843622185,0.49997316156736443,5.367686527106841e-05,0.0,0.0
128 (Sigmoid + RMSPROP lr=0.001),[128],Sigmoid,rmsprop,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128 (Sigmoid + RMSPROP lr=0.0001),[128],Sigmoid,rmsprop,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (ReLU + ADAM lr=0.1),"[128, 64]",ReLU,adam,0.1,0.9866769547325104,0.011206910589420785,0.9204240472356414,0.03173047405270968,0.8502387148434971,0.10783008489869322
128-64 (ReLU + ADAM lr=0.01),"[128, 64]",ReLU,adam,0.01,0.976388888888889,0.012757201646090514,0.725523349436393,0.1630669596463098,0.5379394738816233,0.3333436414521638
128-64 (ReLU + ADAM lr=0.001),"[128, 64]",ReLU,adam,0.001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
128-64 (ReLU + ADAM lr=0.0001),"[128, 64]",ReLU,adam,0.0001,0.9583333333333334,0.0,0.5,0.0,0.0,0.0
